# BJD(TDB)-2450000 airmass sky(mag) dx(pix) dy(pix) fwhm(pix) peak(mag) frame mag_t(r=28.0) mag_t-c_err(r=28.0) mag_c(r=28.0) mag_t(r=30.0) mag_t-c_err(r=30.0) mag_c(r=30.0) mag_t(r=32.0) mag_t-c_err(r=32.0) mag_c(r=32.0) mag_t(r=34.0) mag_t-c_err(r=34.0) mag_c(r=34.0) mag_t(r=36.0) mag_t-c_err(r=36.0) mag_c(r=36.0) 
7777.951878 1.4812 -7.940 -0.840 0.527 19.05 -11.274 MSCL0_1701240108 -16.92730 0.00079 -17.14037 -16.93019 0.00080 -17.14158 -16.93194 0.00082 -17.14234 -16.93337 0.00083 -17.14317 -16.93464 0.00085 -17.14358 
7777.952607 1.4751 -8.284 -0.577 0.493 19.30 -10.764 MSCL0_1701240109 -16.42683 0.00103 -16.63535 -16.43002 0.00107 -16.63666 -16.43169 0.00110 -16.63743 -16.43287 0.00113 -16.63788 -16.43483 0.00117 -16.63817 
7777.953358 1.4689 -8.170 0.034 0.943 18.95 -10.981 MSCL0_1701240110 -16.62614 0.00092 -16.83111 -16.62938 0.00094 -16.83219 -16.63143 0.00097 -16.83306 -16.63250 0.00099 -16.83402 -16.63419 0.00102 -16.83444 
7777.954088 1.4630 -8.003 -0.836 0.350 18.70 -11.249 MSCL0_1701240111 -16.82901 0.00082 -17.05323 -16.83172 0.00084 -17.05401 -16.83315 0.00085 -17.05472 -16.83428 0.00087 -17.05536 -16.83568 0.00089 -17.05613 
7777.954828 1.4570 -8.516 -0.147 0.865 19.88 -10.264 MSCL0_1701240112 -15.78260 0.00165 -16.01119 -15.78468 0.00173 -16.01194 -15.78584 0.00181 -16.01220 -15.78745 0.00189 -16.01264 -15.78864 0.00198 -16.01269 
7777.955569 1.4511 -8.222 -0.569 0.156 19.26 -10.814 MSCL0_1701240113 -16.41588 0.00103 -16.63248 -16.41898 0.00106 -16.63360 -16.42042 0.00109 -16.63434 -16.42165 0.00113 -16.63488 -16.42338 0.00116 -16.63499 
7777.956321 1.4452 -8.264 -0.540 -0.019 18.63 -10.614 MSCL0_1701240114 -16.18504 0.00118 -16.40764 -16.18777 0.00122 -16.40853 -16.18948 0.00127 -16.40900 -16.19043 0.00132 -16.40946 -16.19177 0.00137 -16.40988 
7777.957074 1.4394 -7.816 -0.871 0.189 18.46 -11.379 MSCL0_1701240115 -17.02054 0.00074 -17.22545 -17.02336 0.00075 -17.22643 -17.02489 0.00076 -17.22733 -17.02621 0.00077 -17.22821 -17.02781 0.00079 -17.22894 
7777.957814 1.4337 -7.765 -0.593 0.414 18.95 -11.319 MSCL0_1701240116 -17.07254 0.00072 -17.28174 -17.07560 0.00073 -17.28284 -17.07745 0.00074 -17.28385 -17.07880 0.00075 -17.28467 -17.08054 0.00077 -17.28522 
7777.958567 1.4280 -7.815 -0.461 -0.534 19.04 -11.237 MSCL0_1701240117 -16.99796 0.00074 -17.20215 -17.00118 0.00075 -17.20354 -17.00327 0.00076 -17.20465 -17.00520 0.00078 -17.20547 -17.00682 0.00079 -17.20619 
7777.959307 1.4224 -7.825 -0.434 0.900 19.73 -11.291 MSCL0_1701240118 -16.98166 0.00075 -17.19946 -16.98457 0.00076 -17.20053 -16.98623 0.00077 -17.20116 -16.98777 0.00078 -17.20182 -16.98939 0.00080 -17.20241 
7777.960048 1.4169 -7.761 -0.214 -0.118 19.34 -11.368 MSCL0_1701240119 -17.06767 0.00071 -17.27634 -17.07076 0.00072 -17.27747 -17.07249 0.00073 -17.27829 -17.07378 0.00075 -17.27893 -17.07560 0.00076 -17.27935 
7777.960789 1.4115 -7.786 -0.877 0.344 18.98 -11.269 MSCL0_1701240120 -17.03834 0.00072 -17.25278 -17.04183 0.00073 -17.25413 -17.04408 0.00074 -17.25502 -17.04590 0.00076 -17.25577 -17.04757 0.00077 -17.25623 
7777.961530 1.4061 -7.761 0.456 -0.361 19.49 -11.275 MSCL0_1701240121 -17.06674 0.00071 -17.27898 -17.06992 0.00072 -17.28023 -17.07183 0.00073 -17.28119 -17.07324 0.00074 -17.28169 -17.07464 0.00076 -17.28230 
7777.962270 1.4008 -7.746 -0.804 0.534 19.04 -11.399 MSCL0_1701240122 -17.07649 0.00071 -17.28789 -17.07913 0.00072 -17.28880 -17.08047 0.00073 -17.28962 -17.08158 0.00074 -17.29041 -17.08302 0.00075 -17.29085 
7777.963011 1.3955 -7.745 -0.424 0.411 18.27 -11.595 MSCL0_1701240123 -17.07390 0.00070 -17.28615 -17.07587 0.00071 -17.28697 -17.07717 0.00072 -17.28756 -17.07817 0.00073 -17.28814 -17.07937 0.00075 -17.28851 
7777.963763 1.3903 -7.736 -0.171 -0.671 18.65 -11.386 MSCL0_1701240124 -17.07262 0.00070 -17.28373 -17.07570 0.00071 -17.28493 -17.07765 0.00072 -17.28583 -17.07903 0.00073 -17.28657 -17.08079 0.00074 -17.28707 
