id,name,RA,Decl,V_mag,R_star,M_star,Priority,SpcType,comments,period,period_error,t0,t0_error,depth,duration,Rs_a,Mp,Rp,filler,public,tess,required_observations,done,observations,stellar_density
176;"WASP-35b";76.081666666667;-6.2297222222222;10.9;;;3;"F8V";"Crouzet. Puffy hot Jupiter around a bright star. Measure the Rayleigh scattering and TiO/VO. Complement and validate the NOT ALFOSC observations.";3.161575;0;2455531.47907;0;;0.1278;;;;0;;;1;"No";0;
120;"RX J0506.2";76.553858333333;4.65755;13.46;;;4;;"Victor. Search for rocky planets in the HZ of mid and late M dwarfs with estimated inclination angles ~90deg, based on Prot and vsini";;0;;0;;;;;;2;;;1;"No";0;
145;"C13_1830b";76.8675;16.867722222222;12.69;1.8;1.57;5;;"Grzegorz KESPRINT RM target. C13_1830 is a quite faint target for HARPS-N (V=12.7 mag) and transit duration is ~4h15m. Ingress is at 20:55 UT (airmass 1.03), transit mid-point at 23:05 (airmass 1.27) and egress at 01:10 (airmass 2.44). This means that we are able to collect between 8 and 17 radial velocities during the transit using exposure times between 30 and 15 min., 2-4 RVs before ingress and maybe 1-2 after the egress. During next two nights of this run we may observe this planet at orbital phases 0.33-0.41 and 0.7-0.8. Currently vsini is estimated for ~16-20 km/s, based on McDonald Tull reconnaissance spectra, so we should expect an overall amplitude of a Rossiter-McLaughlin effect of ~150-185 m/s (RV K semi-amplitude is ~300 m/s). I will be observing during this run. Therefore I would like to ask for your opinion about RM observations of C13_1830b with HARPS-N. Should we try to observe it?";2.6266999;0;2457820.7377968;0;0.007;0.01775;;;;0;;;1;"Yes";4;0.26920438957476
49;"TCPJ05+24";76.927666666667;24.79875;14;;;5;"F5";"Akihiko. Cadence: 10-30 minutes/night. The second brightest microlensing event discovered to date. It has a high sensitivity to exoplanets, and continuous monitoring is very important. Paper submitted for publication. May 2019. Done";;0;;0;;;;;;1;;;1;"Yes";15;
111;"KELT-7b";78.295416666667;33.318055555556;8.54;;;4;;"Enric: Target for simultaneous observations with TNG for atmosphere studies";2.7347785;0;2456355.229809;0;0.0087;0.1464;;;;0;;;1;"Yes";2;
315;"TOI00433.01";78.778441666667;-15.100444444444;9;;;3;;"TESS target, followup 1438.299160 2457000 OBSERVE IN FOCUS !!!";1.17409;0;2458438.29916;0;;0.083;;;;0;;1;1;"Yes";1;
147;"J052742";81.927666666667;7.9180805555556;12.04;;;2;;"Jorge Prieto. Brown Dwarf (SuperWASP)";1.1391899;0;2458111.5122859;0;;0.102;;;;0;;;1;"Yes";2;
121;"GJ207.1";83.43666875;1.9454041666667;11.499;;;4;"M2.5";"Victor. Search for rocky planets in the HZ of mid and late M dwarfs with estimated inclination angles ~90deg, based on Prot and vsini";;0;;0;;;;;;2;;;1;"No";0;
351;"3UC190-026030";83.91375;4.8281194444444;12.8;;;2;;"3UC190-026030 (TIC 220068921) Enric. This is a planet candidate detected in QES data, also observed by TESS. Although it is not a TOI, as it comes from full frames.";3.365167;0;2458469.253889;0;;0.1514;;;;0;;1;1;"No";0;
122;"GJ208";84.129127083333;11.327866666667;8.898;;;4;"M0";"Victor. Search for rocky planets in the HZ of mid and late M dwarfs with estimated inclination angles ~90deg, based on Prot and vsini";;0;;0;;;;;;2;;;1;"No";0;
352;"3UC196-033646";88.126791666667;7.9526277777778;12.3;;;2;;"3UC196-033646 (TIC 139474683) Enric. This is a planet candidate detected in QES data, also observed by TESS. Although it is not a TOI, as it comes from full frames.";3.204681;0;2458470.137279;0;;0.204;;;;0;;1;1;"No";0;
134;"XO-008.1480";88.8234625;62.835788888889;11.78;;;5;"wF8V";"Nicolas Crouzet. XO transit candidate. Two blended stars, probably SB2, but it may also be a planet around the brighter one. Multi-color photometry should help.";2.375765;0;2456755.48096;0.042;0.008;0.099;;;;0;;;1;"Yes";3;
