TIC ID,TOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Planet Num,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Sectors,Date TOI Created (UTC),Date TOI Modified (UTC),Comments
54962195,663.02,1,4,1,4,4,3,4,PC,,11.672,0.04,,2,spoc,10:40:15.81,-08:30:39.85,-145.21,2,-80.2,2,2458543.394099,.004137,4.698465,0.001207,1.836605,0.647492,2.283316,0.288664,2100.802126,2100.802126,2.328341,1.721462,21.574328,549.672574,7.826296,92.688316,,3719,64,4.7694101,.347691,.50199997,.075000003,"9",2019-05-06 19:17:04,2019-05-23 14:45:56,"not a 2x period, so it could be a second planet; low SNR"
432008938,643.01,5,5,5,5,5,5,5,PC,FP,13.679,0.04,,2,spoc,08:02:46.42,-23:41:43.94,102.04,2,-193.97,2,2458522.349321,.003658,9.653456,0.002539,4.00937,0.258226,47.820639,4.558786,43088.5649,43088.5649,7.281973,1.406418,3.12657,339.146076,13.058762,142.56639,,3369,67,4.9291902,.40352899,.31999999,.055,"8",2019-04-11 19:30:45,2019-05-23 14:28:26,"period might be double; crowded field"
391821647,708.01,5,5,5,5,5,5,5,PC,FP,10.8,0.018,,1,spoc,05:31:03.57,-70:21:25.85,6,0.88,22.902,0.951,2458325.573663,.004267,1.996071,0.000106,5.910879,0.409116,0.383079,0.039293,352.76672,352.76672,1.947951,.430095,1373.182266,1552.572166,9.086427,212.23769,19.747999,6636,200,4.6045198,.38689101,.97512102,.154384,"1,2,3,4,5,6",2019-04-30 13:04:30,2019-05-23 13:57:52,"large scatter in centroid from sector to sector; very crowded field; possible secondary"
55559618,695.01,5,5,5,5,5,5,5,PC,FP,10.727,0.018,,1,spoc,04:52:33.18,-64:55:43.98,-19.61,2,101.56,2,2458346.417188,.005472,21.37511,0.001372,4.37398,0.701032,0.838418,0.086538,771.913015,771.913015,2.993302,3.404871,43.716688,655.815329,9.781613,174.995,,5591,187,4.3811102,2.0039699,1.06168,1.06168,"1,2,3,4,5,6",2019-04-30 13:04:27,2019-05-23 13:45:07,"GAIA Rstar = 0.855 R_solar"
260271203,207.01,5,5,5,5,5,5,5,PC,FP,13.42,0.019,,1,spoc,06:16:52.34,-58:13:47.28,-0.538,3.241,4.666,3.241,2458414.835781,.00103,5.649621,0.000499,4.153365,0.074243,52.76822,0.818382,47439.1858,47439.1858,27.681535,27.683432,405.05602,1144.190987,71.43821,859.66901,,5963,190,4.3113198,,1.21025,1.21025,"4",2018-10-22 18:35:21,2019-05-23 13:34:47,"follow-up in progress"
176957796,137.01,5,5,5,5,5,5,5,PC,FP,10.642,0.018,,1,spoc,06:45:11.4,-66:14:17.94,20.429,0.933,-68.724,1.327,2458327.369003,.004306,4.819018,0.001436,3.035372,0.275922,1.959621,0.17443,1803.249732,1803.249732,4.458667,.842854,99.16949,804.848741,.883885,85.076752,3.3934901,4651,175,4.5693698,.2,.85824001,.150601,"1",2018-09-05 18:34:18,2019-05-23 13:30:29,
320417762,692.01,3,4,3,3,4,4,4,PC,,9.0050001,0.02,,1,qlp,07:52:01.02,10:14:57.44,-4.99,0.606,-4.332,0.545,2458491.74051,.00966,1.03604,0.00068,1.855,0.435,0.148429,0.001496,136.699,136.699,,,17627.1,3210,11,403.496,,9372,240,4.0755401,1.2578599,2.34308,1.4590501,"7",2019-05-02 15:06:42,2019-05-23 10:00:02,"low S/N transit"
156991337,691.01,2,4,2,2,4,4,4,PC,,10.192,0.018,,1,qlp,06:39:48.92,-42:02:42.72,-11.161,0.643,18.141,0.747,2458474.38669,.00485,6.90741,0.00143,1.89,0.488,0.75585,0.002787,695.921,695.921,3.28745,.26256,75.8066,822,13,172.13046,11.6624,5969,192,4.3287501,.29143,1.18736,.15658399,"7",2019-05-02 15:06:42,2019-05-23 10:00:02,
335499997,680.01,3,4,3,4,4,4,4,PC,,8.9530001,0.019,,1,spoc,11:56:39.27,-12:22:39.06,-56.729,0.083,-8.698,0.059,2458543.514628,.00039,0.433716,0.000013,0.890312,0.098075,0.921764,0.028429,848.615718,848.615718,5.741712,1.372976,28648.751159,3318.151211,23.040173,158.61105,13.3682,5967,192,3.9495001,.35182101,1.83682,.30245,"9",2019-05-06 19:17:05,2019-05-22 13:48:55,
54085154,662.01,4,4,4,4,4,4,4,PC,,8.1940002,0.017,,1,spoc,10:40:43.23,-31:55:38.03,-1.865,0.472,-14.934,0.351,2458543.299953,.001614,1.001166,0.000112,1.793411,0.193173,0.30201,0.016952,278.122604,278.122604,2.394312,.530521,4637.090965,2104.656153,13.519842,86.637093,3.15639,6380,80,,,1.3136801,.127184,"9",2019-05-06 19:17:04,2019-05-20 12:56:05,
